id;reg_no;name;total_rating;location;location_name;contact_no;opening_time;email;closing_time;info;min_amount;max_delivery_time;store_unique_id;image_link
1;service-desk Metal backing up;methodical Chips;79427;silver channels blue;Web Place;31483;2019-12-25T16:25:25;Casey.Crooks@gmail.com;2019-12-25T16:06:46;end-to-end Toys Executive;45709;2019-12-26T00:39:36;standardization Serbia Books;Fantastic
2;Corners blue Small Wooden Pants;Identity;6971;firewall Profit-focused;cross-platform Zimbabwe Dollar parse;21664;2019-12-26T03:42:48;Mafalda.Hodkiewicz3@gmail.com;2019-12-26T02:13:36;benchmark;79779;2019-12-26T04:26:20;Denmark Cyprus;initiatives
3;Computer Money Market Account;generate partnerships;50072;Electronics niches granular;Program tertiary;5276;2019-12-26T03:59:47;Mekhi86@gmail.com;2019-12-25T10:17:32;Global Ergonomic Bacon;527;2019-12-25T23:54:03;cyan Orchestrator;AI Mouse
4;backing up Zambia;Electronics;96083;Bahamian Dollar Health Program;Generic Rubber Bike brand Applications;24630;2019-12-25T11:55:58;Oma56@hotmail.com;2019-12-26T05:41:56;artificial intelligence Inlet Hat;49054;2019-12-26T01:11:41;program Isle Tasty Concrete Fish;EXE holistic
5;Infrastructure Data;3rd generation synthesize;50207;Louisiana ADP forecast;USB Consultant;90668;2019-12-25T22:19:07;Brendan82@yahoo.com;2019-12-25T14:01:37;bandwidth interface;83856;2019-12-25T13:41:52;payment niches orchid;scale Fantastic Metal Mouse white
6;Division Sleek proactive;deposit Credit Card Account;68617;solution-oriented XSS open-source;parse Future-proofed Generic Steel Keyboard;36924;2019-12-25T20:32:24;Donna57@yahoo.com;2019-12-26T03:16:16;customer loyalty array Generic Soft Hat;27319;2019-12-26T03:55:51;Steel Checking Account;HDD reboot
7;transmit;reinvent Polarised;17871;Handmade;copying;33634;2019-12-26T02:30:43;Jairo.Stark9@yahoo.com;2019-12-25T12:04:56;Industrial Ergonomic Concrete Keyboard Cotton;31496;2019-12-25T22:57:55;Maryland brand Unbranded;Tokelau
8;Architect Indiana Throughway;Handmade Handmade synthesizing;83700;implement Awesome Automotive;matrix multi-byte;82033;2019-12-26T04:43:45;Laisha75@hotmail.com;2019-12-25T10:14:27;payment;16499;2019-12-25T10:59:46;Savings Account;redefine cutting-edge
9;Netherlands Antillian Guilder transmitting Cheese;Freeway;49421;B2C Peru;Borders hacking Rustic;88265;2019-12-26T06:48:18;Lilian64@yahoo.com;2019-12-25T17:14:37;SCSI;38783;2019-12-25T18:29:40;Mobility;bandwidth Papua New Guinea
10;payment;Movies Canadian Dollar;74712;Berkshire Towels;invoice architectures;31350;2019-12-25T21:36:18;Rosanna_Shields79@gmail.com;2019-12-26T01:30:51;Designer;97021;2019-12-25T17:21:25;Shoes;paradigms parse
